created_date,author,type,media,version,articleId,revenue>spend,Headline,Media link,campaign_name
2024-02-05,Yuliia,Original,GIF,v2,414988,True,"Watching News Report from Paris, Man Recognizes Beggar as His Wife Who Disappeared 12 Years Ago – Story of the Day",GIF,414988 Original v2 Yuliia GIF
2024-02-05,Yuliia,Alt,GIF,v1,417402,True,New Girl Puts Boss in Place,GIF,417402 Alt v1 Yuliia GIF
2024-02-05,Yuliia,Original,VID,v4,416312,True,"Woman Spots 'Help' on Car's Window in Traffic Jam, Realizes Something's Off",video,416312 Original v4 Yuliia VID
2024-02-05,Dima,Alt,IMG,v1,416934,True,"‘Two Pizzas Please,’ Cop Thinks Girl Got Wrong Number until Strange Noises Appear in the Background",image,416934 Alt v1 Dima IMG
2024-02-05,Andrii,Alt,GIF,v4,417054,True,"Wife Throws Husband Out After Finding Stranger's Underpants, Later Begs Apology on Knees",GIF,417054 Alt v4 Andrii GIF
2024-02-05,Andrii,Original,IMG,v2,417420,True,"Groom Hides The Truth From His Bride, But Karma Gets The Job Done – Story of the Day",image,417420 Original v2 Andrii IMG
2024-02-04,Yuliia,Alt,VID,v3,417416,False,Student Makes a Pass at Female Professor – Story of the Day,video,417416 Alt v3 Yuliia VID
2024-02-04,Yuliia,Alt,GIF,v4,417502,False,Wife Sees Husband with Their Nanny on Kiss Cam while Watching Basketball Game,GIF,417502 Alt v4 Yuliia GIF
2024-02-04,Dima,Original,GIF,v2,416474,False,"My fiancé won't be thrilled, but I wanna try this before the wedding",GIF,416474 Original v2 Dima GIF
2024-02-04,Andrii,Original,GIF,v4,417034,True,My Mom is Dating My Ex,GIF,417034 Original v4 Andrii GIF
2024-02-04,Dima,Original,VID,v4,417367,False,"Store Staff Was Rude to Me over My Skin Color, Unaware Who I Really Am",video,417367 Original v4 Dima VID
2024-02-04,Artem,Original,GIF,v2,417642,True,Wife Finds Out That Her Husband Is Hiding Millions of Dollars from Her,GIF,417642 Original v2 Artem GIF
2024-02-04,Dima,Alt,IMG,v1,417182,True,My Husband's Mistress Knocked on My Door,image,417182 Alt v1 Dima IMG
2024-02-04,Vasyl,Alt,GIF,v4,417649,False,"Stepdad Almost Wins Custody Battle, Then Girl Says Three Words That Change Everything",GIF,417649 Alt v4 Vasyl GIF
2024-02-04,Artem,Alt,IMG,v4,417369,True,My Daughter Found Secret Photo of Her Teacher in My Husband’s Nightstand,image,417369 Alt v4 Artem IMG
2024-02-03,Artem,Alt,IMG,v2,417258,False,Woman Comes to Adopt a Child and Sees Her Late Son There,image,417258 Alt v2 Artem IMG
2024-02-03,Artem,Alt,GIF,v2,415100,True,‘Where’s She?!’ Angry Husband Bursts into Hospital after Wife Was Just Hospitalized – Story of the Day,GIF,415100 Alt v2 Artem GIF
2024-02-03,Andrii,Alt,GIF,v4,417387,False,Black Girl Isn't Let Inside the Club – Story of the Day,GIF,417387 Alt v4 Andrii GIF
2024-02-03,Yuliia,Alt,VID,v1,417608,True,Wife Sees Hot Girl Handing Her Husband a Note ‘Thanks for Last Night' – Story of the Day,video,417608 Alt v1 Yuliia VID
2024-02-03,Artem,Alt,GIF,v2,417637,True,Man Files for Divorce Immediately After Seeing His Newborn Son – Story of the Day,GIF,417637 Alt v2 Artem GIF
2024-02-03,Artem,Original,VID,v1,417224,True,"I Posted a Photo From My Wedding Anniversary, Suddenly Received a Call ""You're in Danger"" ",video,417224 Original v1 Artem VID
2024-02-03,Andrii,Original,GIF,v4,417777,True,Magician Saves Me From Abuser,GIF,417777 Original v4 Andrii GIF
2024-02-03,Vasyl,Original,IMG,v1,402614,True,"My Husband Kept Mocking Me for 'Doing Nothing' at Home, I Knew It Was Time to Teach Him a Lesson",image,402614 Original v1 Vasyl IMG
2024-02-03,Dima,Original,GIF,v3,417597,True,"I Thought My Granny Left Me Just an Urn of Ashes, Until the Urn Shatters One Day",GIF,417597 Original v3 Dima GIF
2024-02-02,Dima,Original,IMG,v1,414954,True,I Walked Into My Adopted Son's Room and Saw Him Nursing Strange Baby,image,414954 Original v1 Dima IMG
2024-02-02,Yuliia,Original,GIF,v2,417778,True,"Passerby Saves Girl from Abuser, not suspecting that it's a trap ",GIF,417778 Original v2 Yuliia GIF
2024-02-02,Artem,Original,IMG,v4,417937,True,My Boyfriend Forces Me to Diet,image,417937 Original v4 Artem IMG
2024-02-02,Dima,Original,VID,v4,418023,True,Millionaire Offered Man Million Dollars to Spend Night With His Wife,video,418023 Original v4 Dima VID
2024-02-02,Andrii,Alt,GIF,v1,417830,True,"Daughter Disappears, Father Tracks Her Phone and Loses the Gift of Speech – Story the Day",GIF,417830 Alt v1 Andrii GIF
2024-02-02,Andrii,Alt,VID,v2,417342,True,"My Wife Was Cheating on ME With My Boss, So I Decided to Take Revenge",video,417342 Alt v2 Andrii VID
2024-02-02,Yuliia,Original,IMG,v3,417783,True,"Rich Man Tries to Buy Poor Mechanic's Daughter, but Pays Too High Price for It – Story of the Day",image,417783 Original v3 Yuliia IMG
2024-02-02,Artem,Original,IMG,v3,417388,False,"I Sent Daughter to My Mom for Summer, Coming There I Learned My Mom Died and Daughter Disappeared",image,417388 Original v3 Artem IMG
2024-02-02,Vasyl,Alt,IMG,v4,417369,False,Girl Shouts Out Loud When She Sees Her Teacher for the First Time: 'My Dad Has a Picture of You' – Story of the Day,image,417369 Alt v4 Vasyl IMG
2024-02-01,Yuliia,Alt,GIF,v1,417428,False,"My Boss Made Me Dance for a Rich Man, It Turned Out That I Already Knew Him",GIF,417428 Alt v1 Yuliia GIF
2024-02-01,Yuliia,Original,IMG,v1,417861,True,Woman Adopts Non-English Speaking Girl - Astonished to Uncover the Truth When She Learns to Communicate – Story of the Day,image,417861 Original v1 Yuliia IMG
2024-02-01,Vasyl,Original,IMG,v4,417541,True,Boy Escapes Kidnapping Using Trick Taught by His Mother,image,417541 Original v4 Vasyl IMG
2024-02-01,Vasyl,Original,IMG,v1,417875,True,Spoiled Girl Mocks Maid Not Knowing Her Rich Dad Has Been Watching Her – Story of the Day,image,417875 Original v1 Vasyl IMG
2024-02-01,Yuliia,Original,GIF,v4,418032,False,Homeless Girl Won Rich Man’s Heart,GIF,418032 Original v4 Yuliia GIF
2024-02-01,Andrii,Original,GIF,v3,417416,False,Student Makes a Pass at Female Professor – Story of the Day,GIF,417416 Original v3 Andrii GIF
2024-02-01,Artem,Original,GIF,v3,416636,True,"Security Guard Kicks Old Man Out of a Club Not Knowing Who He Really Is
",GIF,416636 Original v3 Artem GIF
2024-02-01,Yuliia,Original,IMG,v2,418070,True,"Rich Woman Humiliates Shop Assistant, Karma Hits Her Back in a Few Minutes – Story of the Day",image,418070 Original v2 Yuliia IMG
2024-02-01,Artem,Original,GIF,v4,414954,True,I Found My Little Son Secretly Nursing Stranger Baby in His Room – Story of the Day,GIF,414954 Original v4 Artem GIF
2024-01-31,Andrii,Alt,VID,v1,416673,True,"Saleswoman Paid for Her Disrespectful Behavior to the Poor Old Man
",video,416673 Alt v1 Andrii VID
2024-01-31,Yuliia,Alt,VID,v1,417648,True,I Caught My Husband in Bed With My Student,video,417648 Alt v1 Yuliia VID
2024-01-31,Yuliia,Original,IMG,v2,417928,True,"Hotel Manager Humiliates Wheelchaired Woman, Next Day Sees Her Standing with Hotel Inspector – Story of the Day",image,417928 Original v2 Yuliia IMG
2024-01-31,Andrii,Alt,IMG,v4,418059,True,"Family Gathers for Old Businessman's Funeral, Shocked as They Hear His Voice Emerge from the Coffin – Story of the Day",image,418059 Alt v4 Andrii IMG
2024-01-31,Yuliia,Original,IMG,v3,417752,False,"I Posted a Cute Family Video in Facebook, the Next Day the Police Knocked on My Door",image,417752 Original v3 Yuliia IMG
2024-01-31,Artem,Original,VID,v3,418212,True,Cleaning Lady Exposes Husband's Affair With Glamorous Mistress,video,418212 Original v3 Artem VID
2024-01-31,Vasyl,Alt,VID,v3,418239,False,"I Realized That the Boy Pretending to Be My Son Was Not Really Him, but His Carbon Copy – Story of the Day",video,418239 Alt v3 Vasyl VID
2024-01-31,Andrii,Original,GIF,v3,418114,False,My Mom Put Me Up for Sale – Story of the Day,GIF,418114 Original v3 Andrii GIF
2024-01-31,Andrii,Original,GIF,v2,410935,True,Bride’s Mom Spots Groom Entering Bathroom with Bridesmaid in the Middle of Wedding – Story of the Day,GIF,410935 Original v2 Andrii GIF
2024-01-30,Yuliia,Alt,IMG,v3,417764,True,I Came Home to Found My Husband Talking to a Policeman,image,417764 Alt v3 Yuliia IMG
2024-01-30,Yuliia,Alt,GIF,v3,418059,True,"Family Gathers for Old Businessman's Funeral, Shocked as They Hear His Voice Emerge from the Coffin – Story of the Day",GIF,418059 Alt v3 Yuliia GIF
2024-01-30,Dima,Alt,VID,v3,417502,False,Wife Sees Husband with Their Nanny on Kiss Cam while Watching Basketball Game,video,417502 Alt v3 Dima VID
2024-01-30,Artem,Alt,VID,v1,418238,True,Woman's Birthday Lunch Erupts in Chaos After She Caught Fiancé Cheating,video,418238 Alt v1 Artem VID
2024-01-30,Vasyl,Original,IMG,v2,410562,True,My Wife Came Home from Son’s Funeral Holding Little Boy in Her Arms – Story of the Day,image,410562 Original v2 Vasyl IMG
2024-01-30,Artem,Alt,IMG,v1,417886,True,My Poor Janitor Father Left Me an Unexpected Inheritance,image,417886 Alt v1 Artem IMG
2024-01-30,Dima,Alt,GIF,v3,418239,False,"I Realized That the Boy Pretending to Be My Son Was Not Really Him, but His Carbon Copy – Story of the Day",GIF,418239 Alt v3 Dima GIF
2024-01-30,Dima,Alt,IMG,v2,418032,False,Homeless Girl Won Rich Man’s Heart,image,418032 Alt v2 Dima IMG
2024-01-30,Artem,Alt,VID,v2,418045,True,I Ran Away From My Own Wedding After Receiving a Mysterious Gift.,video,418045 Alt v2 Artem VID
2024-01-29,Yuliia,Original,IMG,v2,417930,False,I Saw My Boss Humiliating a Beggar Outside the Office and Decided to Intervene,image,417930 Original v2 Yuliia IMG
2024-01-29,Yuliia,Original,GIF,v2,417861,True,Woman Adopts Non-English Speaking Girl - Astonished to Uncover the Truth When She Learns to Communicate – Story of the Day,GIF,417861 Original v2 Yuliia GIF
2024-01-29,Artem,Original,IMG,v3,418271,False,I Brought My Son to the Hospital after Accident and Found Out That He Wasn’t Really My Son – Story of the Day,image,418271 Original v3 Artem IMG
2024-01-29,Artem,Alt,IMG,v3,418306,True,Jewelry Store Guard Frames Black Woman Unaware Who She Really Is,image,418306 Alt v3 Artem IMG
2024-01-29,Dima,Alt,IMG,v4,418390,True,My Husband Imprisoned Me in Golden Cage and Forced Me to Go On Diet,image,418390 Alt v4 Dima IMG
2024-01-29,Yuliia,Original,IMG,v1,413802,True,Lady Learns Her Husband Switches from SUV to Old Cheap Car Daily and Leaves City – Story of the Day,image,413802 Original v1 Yuliia IMG
2024-01-29,Yuliia,Original,VID,v2,418433,True,Boss Catches Maid with Man in His Bed,video,418433 Original v2 Yuliia VID
2024-01-29,Andrii,Alt,IMG,v3,418020,False,My Husband Dumped Me on Our Anniversary for Another Woman,image,418020 Alt v3 Andrii IMG
2024-01-29,Andrii,Original,VID,v2,418162,True,Waiter Poisons His Evil Boss – Story of the Day,video,418162 Original v2 Andrii VID
2024-01-28,Vasyl,Original,GIF,v2,418464,True,Rich Man Spots Old Cross on Maid’s Neck and Turns Pale from Sudden Memory,GIF,418464 Original v2 Vasyl GIF
2024-01-28,Yuliia,Alt,GIF,v2,417928,True,"Hotel Manager Evicts Disabled Woman for Wealthy Guests, His Boss Bursts into His Office Next Day – Story of the Day",GIF,417928 Alt v2 Yuliia GIF
2024-01-28,Dima,Original,GIF,v2,418537,False,"Waitress Finds Napkin Scribbled with the Words ""HELP ME"" on Restaurant Floor",GIF,418537 Original v2 Dima GIF
2024-01-28,Yuliia,Original,VID,v4,418433,True,"Housekeeper Exposes Her Boss's Lover, Shocked to See Familiar Face – Story of the Day",video,418433 Original v4 Yuliia VID
2024-01-28,Vasyl,Original,IMG,v3,418327,True,"My Elderly Neighbor Repeatedly Quarreled With Me, Until One Day She Vanished With My Children",image,418327 Original v3 Vasyl IMG
2024-01-28,Dima,Alt,VID,v3,418577,False,"Guy Saves Girl from Harasser on Bus, Not Imagining What Reward He’ll Get the Next Day",video,418577 Alt v3 Dima VID
2024-01-28,Artem,Original,IMG,v1,413476,True,"Orphan Boy Sells Granny's Ring for Food, Buyer Recognizes It as His Family Heirloom – Story of the Day",image,413476 Original v1 Artem IMG
2024-01-28,Yuliia,Alt,IMG,v3,413316,False,"My Father Kicked My Mom and Me Out of the House for a Mistress, Years Later I Paid Him Back",image,413316 Alt v3 Yuliia IMG
2024-01-28,Yuliia,Original,GIF,v2,418162,True,"Waiter Poisons the Drink of His Evil Boss, Sees that His Daughter is About to Drink It – Story of the Day",GIF,418162 Original v2 Yuliia GIF
2024-01-27,Dima,Alt,IMG,v2,418539,True,"My Husband Sleepwalks Somewhere at Night, Once I Followed Him – Story of the Day",image,418539 Alt v2 Dima IMG
2024-01-27,Artem,Alt,GIF,v4,418537,True,"Waitress Finds Napkin Scribbled with the Words ""HELP ME"" on Restaurant Floor",GIF,418537 Alt v4 Artem GIF
2024-01-27,Andrii,Original,IMG,v4,418511,False,"I Let Santa-In-Disguise into House, Unaware He Is Not Who He Claims to Be – Story of the Day",image,418511 Original v4 Andrii IMG
2024-01-27,Andrii,Alt,GIF,v4,417930,False,"Rich Guy Insults Homeless Man, until He Realizes That He Is His Carbon Copy",GIF,417930 Alt v4 Andrii GIF
2024-01-27,Vasyl,Alt,IMG,v3,412606,False,"‘She’s Not My Sister,’ Boy Says of Newborn Sibling, Parents Take DNA Test Confirming It – Story of the Day",image,412606 Alt v3 Vasyl IMG
2024-01-27,Yuliia,Alt,IMG,v1,418384,False,I Woke Up in a Stranger's Bed After an Evening With Friends,image,418384 Alt v1 Yuliia IMG
2024-01-27,Andrii,Alt,IMG,v3,418577,True,"Guy Notices a Scoundrel Harassing a Girl on a Bus, Rushes to Her Aid Immediately ",image,418577 Alt v3 Andrii IMG
2024-01-27,Vasyl,Original,IMG,v3,418772,True,Orchestra Commission Rejects Black Musician Due to Racial Bias,image,418772 Original v3 Vasyl IMG
2024-01-27,Vasyl,Alt,VID,v2,418539,True,"My Husband Sleepwalks Somewhere at Night, Once I Followed Him",video,418539 Alt v2 Vasyl VID
2024-01-26,Andrii,Original,IMG,v3,418511,False,"I Let Santa-In-Disguise into House, Unaware He Is Not Who He Claims to Be",image,418511 Original v3 Andrii IMG
2024-01-26,Yuliia,Original,VID,v2,418538,False,"Robber Stole My Bag, I Tracked Him Down Through the Laptop Inside It – Story of the Day",video,418538 Original v2 Yuliia VID
2024-01-26,Vasyl,Alt,GIF,v3,418817,True,"I Worked Hard to Get My Son Back from Shelter, but When I Got There He Was Gone – Story of the Day",GIF,418817 Alt v3 Vasyl GIF
2024-01-26,Andrii,Original,GIF,v1,418346,True,"Rich Man Humiliates Waterman, Then Learns Valuable Lesson",GIF,418346 Original v1 Andrii GIF
2024-01-26,Yuliia,Original,IMG,v2,413148,True,"Boss Fired Me Because I Looked ‘Too Old,’ Next Day He Sent Limo for Me and Begged To Return",image,413148 Original v2 Yuliia IMG
2024-01-26,Dima,Original,VID,v2,418538,True,"Robber Stole My Bag, I Tracked Him Down Through the Laptop Inside It",video,418538 Original v2 Dima VID
2024-01-26,Vasyl,Alt,IMG,v1,418500,False,"My Husband Cheated on Me With Another Woman, Later Karma Struck Him Back",image,418500 Alt v1 Vasyl IMG
2024-01-26,Yuliia,Original,VID,v4,407141,True,Soldier Returns from Duty and Finds His Mom Living in Tent near Her House – Story of the Day,video,407141 Original v4 Yuliia VID
2024-01-26,Artem,Alt,IMG,v3,418772,False,"Casting Director Shames Black Musician, Karma Immediately Hits Him Back – Story of the Day",image,418772 Alt v3 Artem IMG
2024-01-25,Vasyl,Original,IMG,v2,413642,True,"Mother Returns Home to Find That Her Son Has Disappeared, Leaving Only a Note",image,413642 Original v2 Vasyl IMG
2024-01-25,Dima,Original,GIF,v4,418384,True,"I Fell Asleep in My Bed, But Woke up in Someone Else’s",GIF,418384 Original v4 Dima GIF
2024-01-25,Dima,Original,IMG,v1,418817,False,"I Worked Hard to Get My Son Back from Shelter, but When I Got There He Was Gone – Story of the Day",image,418817 Original v1 Dima IMG
2024-01-25,Vasyl,Original,VID,v4,416673,True,"Saleswoman Mocked a Poor Customer Until She Realized Who He Really Was
",video,416673 Original v4 Vasyl VID
2024-01-25,Vasyl,Alt,IMG,v1,416636,False,"Security Guard Kicks Old Man Out of a Club Not Knowing Who He Really Is
",image,416636 Alt v1 Vasyl IMG
2024-01-25,Vasyl,Original,GIF,v2,418749,True,I Got Pregnant while Sleeping – Story of the Day,GIF,418749 Original v2 Vasyl GIF
2024-01-25,Vasyl,Original,IMG,v4,418500,True,"My Husband Died in a Plane Crash, Years Later I Met Him in a Supermarket With His Mother",image,418500 Original v4 Vasyl IMG
2024-01-25,Vasyl,Alt,IMG,v4,418702,True,This Wedding is Canceled!' Groom Shouts After Learning the Truth About His Bride,image,418702 Alt v4 Vasyl IMG
2024-01-25,Andrii,Original,IMG,v3,418634,True,Caring Neighbor Put All Efforts To Rescue Poor Woman From Her Husband — Story of the Day,image,418634 Original v3 Andrii IMG
2024-01-24,Dima,Original,IMG,v2,417053,True,Rich Girl Laughs at Homeless Until She Finds Out Her Own Fate,image,417053 Original v2 Dima IMG
2024-01-24,Dima,Alt,VID,v1,418495,False,"Boss Pressures Employee to Wear Miniskirt and Makeup, Later Everyone Hears a Scream From His Office",video,418495 Alt v1 Dima VID
2024-01-24,Andrii,Alt,VID,v3,417053,False,Rich Girl Laughs at Homeless Until She Finds Out Her Own Fate,video,417053 Alt v3 Andrii VID
2024-01-24,Artem,Original,IMG,v1,406255,False,"My Old Neighbor Never Let Anyone into His House, I Came inside after His Death and Was Shocked",image,406255 Original v1 Artem IMG
2024-01-24,Yuliia,Original,VID,v2,418059,True,"Family Gathers for Old Businessman's Funeral, Shocked as They Hear His Voice Emerge from the Coffin – Story of the Day",video,418059 Original v2 Yuliia VID
2024-01-24,Dima,Alt,GIF,v4,418634,False,Caring Neighbor Put All Efforts To Rescue Poor Woman From Her Husband — Story of the Day,GIF,418634 Alt v4 Dima GIF
2024-01-24,Dima,Alt,IMG,v3,419007,True,"Wife Notices Husband Always Leaves the House When His Phone Rings, One Day Decides to Follow Him",image,419007 Alt v3 Dima IMG
2024-01-24,Yuliia,Alt,GIF,v1,418902,False,"My Husband Said I Am Too Fat to Be Attractive, So I Decided to Hit Him Back",GIF,418902 Alt v1 Yuliia GIF
2024-01-24,Artem,Original,VID,v1,413740,True,I Was Sure That My Husband's Daughter Lived With Us Until I Came Home Early,video,413740 Original v1 Artem VID
2024-01-23,Artem,Alt,IMG,v4,418495,True,Newcomer Girl Taught Our Sexist Boss The Most Brilliant Lesson Ever,image,418495 Alt v4 Artem IMG
2024-01-23,Vasyl,Original,VID,v4,410622,True,"Single Mom of 3 Adopts Twins She Watched in Park, Their Birth Mom Shows up on Their 18th Bday – Story of the Day",video,410622 Original v4 Vasyl VID
2024-01-23,Vasyl,Alt,IMG,v1,417937,True,My Boyfriend Forces Me to Diet,image,417937 Alt v1 Vasyl IMG
2024-01-23,Andrii,Original,GIF,v4,419069,True,"My Girlfriend Convinced Me of Daughter’s Death, One Phone Call to Us Revealed Truth",GIF,419069 Original v4 Andrii GIF
2024-01-23,Artem,Original,IMG,v1,418902,False,"Man Calls His Wife Too Fat to Be Attractive, and Karma Hits Him Back",image,418902 Original v1 Artem IMG
2024-01-23,Vasyl,Original,VID,v3,410622,True,"Single Mom of 3 Adopts Twins She Watched in Park, Their Birth Mom Shows up on Their 18th Bday – Story of the Day",video,410622 Original v3 Vasyl VID
2024-01-23,Andrii,Original,GIF,v2,418962,True,"Man Swaps Newborn Daughter at Hospital, 20 Years Later, She Appears on His Doorstep — Story of the Day",GIF,418962 Original v2 Andrii GIF
2024-01-23,Vasyl,Alt,IMG,v3,418754,True,I Came Home Early and Found My Husband in Bed With Another Woman,image,418754 Alt v3 Vasyl IMG
2024-01-23,Dima,Alt,GIF,v2,410006,True,‘The Groom Is a Fraud! Here’s the Proof!’ Stranger Woman Interrupts Bride’s Vow — Story of the Day,GIF,410006 Alt v2 Dima GIF
2024-01-22,Artem,Original,IMG,v3,418537,True,"Waitress Finds Napkin Scribbled with the Words ""HELP ME"" on Restaurant Floor — Story of the Day",image,418537 Original v3 Artem IMG
2024-01-22,Dima,Original,IMG,v1,418032,True,Homeless Girl Won Rich Man’s Heart,image,418032 Original v1 Dima IMG
2024-01-22,Dima,Alt,IMG,v2,418754,True,"Man Cheats on His Wife With Cunning Mistress, and Later Karma Hits Him Back",image,418754 Alt v2 Dima IMG
2024-01-22,Dima,Alt,VID,v1,418962,False,"Man Answers a Knock, Finds Daughter Lost 19 Years Ago on His Doorstep",video,418962 Alt v1 Dima VID
2024-01-22,Artem,Alt,VID,v4,419069,True,"My Girlfriend Convinced Me That My Daughter Had Died, But Evidence I Found Uncovered the Truth – Story of the Day",video,419069 Alt v4 Artem VID
2024-01-22,Artem,Alt,IMG,v3,419143,True,I Fell in Love with a Millionaire Who Almost Ran Me Over ,image,419143 Alt v3 Artem IMG
2024-01-22,Artem,Alt,VID,v2,419074,False,"Rude Man Insults Woman at Airport, Unaware She’ll Teach Him the Most Brilliant Lesson Ever",video,419074 Alt v2 Artem VID
2024-01-22,Artem,Original,GIF,v2,403889,True,"Boy Doesn’t Come Home for Dinner, ‘We Have Your Son!’ Phone Call Leaves Dad Shaken",GIF,403889 Original v2 Artem GIF
2024-01-22,Yuliia,Alt,GIF,v1,419007,True,"Man Chats with Mistress In Front of His Wife, and Later Karma Hits Him Back",GIF,419007 Alt v1 Yuliia GIF
2024-01-21,Andrii,Alt,GIF,v1,419074,True,"Rude Man Insults Woman at Airport, Unaware She’ll Teach Him the Most Brilliant Lesson Ever",GIF,419074 Alt v1 Andrii GIF
2024-01-21,Vasyl,Original,VID,v4,410006,True,"Unknown Woman Bursts into the Wedding Ceremony, Accusing Groom of Lying",video,410006 Original v4 Vasyl VID
2024-01-21,Dima,Alt,IMG,v4,419034,True,I Found Out My Wife’s Leading a Double Life after I Saw One Message,image,419034 Alt v4 Dima IMG
2024-01-21,Dima,Original,VID,v1,419291,False,I Found Strange Photos of My Dad in My Roommate’s Bedside Table,video,419291 Original v1 Dima VID
2024-01-21,Andrii,Alt,IMG,v3,419053,True,Woman Realizes Her Boyfriend Has Betrayed Her the Moment He Proposes to Her — Story of the Day,image,419053 Alt v3 Andrii IMG
2024-01-21,Yuliia,Original,IMG,v2,418032,True,Homeless Girl Won Rich Man’s Heart,image,418032 Original v2 Yuliia IMG
2024-01-21,Andrii,Original,GIF,v2,406545,True,Mom Ignores Pimple on Son’s Back until It Sharply Enlarges and Starts Moving – Story of the Day,GIF,406545 Original v2 Andrii GIF
2024-01-21,Andrii,Original,IMG,v1,418212,True,Cleaning Lady Exposes Husband's Affair With Glamorous Mistress,image,418212 Original v1 Andrii IMG
2024-01-21,Dima,Alt,GIF,v4,419069,False,I Learned Shocking Truth about My Daughter’s Death from My Girlfriend's Secret Phone Call,GIF,419069 Alt v4 Dima GIF
2024-01-20,Vasyl,Original,IMG,v4,419034,False,I Found Out My Wife’s Leading a Double Life after I Saw One Message,image,419034 Original v4 Vasyl IMG
2024-01-20,Vasyl,Original,GIF,v2,418390,True,"My Husband Controls My Diet, Once I Disobeys Him",GIF,418390 Original v2 Vasyl GIF
2024-01-20,Artem,Original,IMG,v1,419053,False,"Guardians Kick Out Girl on Her 18th Birthday, Beg Her on Knees to Return Next Day",image,419053 Original v1 Artem IMG
2024-01-20,Artem,Alt,IMG,v2,418634,True,I Saw What My Neighbor's Doing to His Wife in Their Backyard and Called 911 Immediately — Story of the Day,image,418634 Alt v2 Artem IMG
